Nome,Tipo,Fase,Módulo,Prioridade,Data início,Data fim,Status,Camada,Descrição,Observações
Scaffold FastAPI modular,Tarefa técnica,F0 — Fundação,"Auth, Multi-tenant",Crítica,2026-05-27,2026-06-02,Concluída,Backend,"Estrutura backend/ com core/, api/v1/, services/, models/",main.py + core + api/v1 + services + models
Migrations Supabase versionadas,Entrega,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Concluída,Database,Pasta supabase/migrations/ com schema versionado no Git,8 migrations (20260527120000–20007)
FKs e índices academy_id NOT NULL,Entrega,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Concluída,Database,Constraints FK em profiles leads campaigns whatsapp_instances,profiles.academy_id nullable até onboarding — decisão de schema OK
RLS ativo em tabelas tenant-scoped,Entrega,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Concluída,Database,Políticas SELECT/INSERT/UPDATE scoped por academy_id,20260527120001_rls_policies.sql
Helper get_user_academy_id() RLS,Tarefa técnica,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Concluída,Database,Função SQL auth.uid() → profiles.academy_id,—
Middleware JWT → academy_id,Tarefa técnica,F0 — Fundação,"Auth, Multi-tenant",Crítica,2026-05-27,2026-06-02,Concluída,Backend,Validar JWT Supabase e injetar contexto tenant em toda request,core/security.py + Depends(get_current_user)
Endpoint GET /api/v1/me,Entrega,F0 — Fundação,Auth,Crítica,2026-05-27,2026-06-02,Concluída,Backend,Retornar user + academy context para frontend,GET /api/v1/me + tenant_ready
Register cria academies + profiles,Tarefa técnica,F0 — Fundação,"Auth, Multi-tenant",Crítica,2026-05-27,2026-06-02,Concluída,Full-stack,POST backend cria academy + profile atomicamente; refatorar Register.jsx,Register Supabase Auth + ensureProfile + RPC create_academy_for_user
Cliente API frontend lib/api.js,Entrega,F0 — Fundação,Auth,Crítica,2026-05-27,2026-06-02,Concluída,Frontend,Início migração off Supabase direct para FastAPI,services/api.js (apiFetch + fetchMe); migração gradual pendente
Hook useAuth + onAuthStateChange,Tarefa técnica,F0 — Fundação,Auth,Crítica,2026-05-27,2026-06-02,Concluída,Frontend,Centralizar estado de sessão no frontend,contexts/AuthContext.jsx
.env.example frontend + backend,Entrega,F0 — Fundação,Infra,Crítica,2026-05-27,2026-06-02,Concluída,Infra,Documentar variáveis VITE_* e backend,—
README raiz setup local,Entrega,F0 — Fundação,Infra,Crítica,2026-05-27,2026-06-02,Concluída,Infra,Instruções dev local frontend + backend + Supabase,README.md na raiz
Corrigir asset logo.png,Entrega,F0 — Fundação,Frontend,Alta,2026-05-27,2026-06-02,Concluída,Frontend,Adicionar logo ou placeholder para evitar falha de build,logo.svg em src/assets/ (favicon)
Migration tabela academy_profiles,Entrega,F1 — Academia & Dashboard,Academia,Crítica,2026-06-03,2026-06-09,Concluída,Database,"modalities plans pricing differentials communication_tone ai_context (jsonb/text)",20260527120005 + storage academy-logos
API CRUD /api/v1/academy e /profile,Entrega,F1 — Academia & Dashboard,Academia,Crítica,2026-06-03,2026-06-09,Em andamento,Backend,Endpoints CRUD perfil comercial e dados institucionais,services/academy.js via Supabase (sem FastAPI)
Página Configuração da Academia,Entrega,F1 — Academia & Dashboard,Academia,Crítica,2026-06-03,2026-06-09,Concluída,Frontend,Formulário manual perfil comercial + dados academia,AcademySettings.jsx
AppLayout com sidebar funcional,Entrega,F1 — Academia & Dashboard,Dashboard,Crítica,2026-06-03,2026-06-09,Concluída,Frontend,Layout reutilizável extraído do Dashboard com navegação,AppLayout.jsx + navigation.js
Dashboard métricas reais,Entrega,F1 — Academia & Dashboard,Dashboard,Crítica,2026-06-03,2026-06-09,Não iniciada,Full-stack,Substituir hardcoded por /api/v1/dashboard/summary,Valores fixos em Dashboard.jsx
Listas leads recentes e interações,Entrega,F1 — Academia & Dashboard,Dashboard,Crítica,2026-06-03,2026-06-09,Não iniciada,Frontend,Leads recentes no dashboard; interações placeholder até F4,Painel placeholder apenas
Rotas /dashboard e /academy/settings,Tarefa técnica,F1 — Academia & Dashboard,Dashboard,Crítica,2026-06-03,2026-06-09,Concluída,Frontend,Registrar rotas protegidas no React Router,App.jsx
Stub endpoint IA perfil comercial,Tarefa técnica,F1 — Academia & Dashboard,Academia,Alta,2026-06-03,2026-06-09,Em andamento,Backend,Opcional MVP — gerar perfil via website/descrição; pode ir para F4,Edge Function analyze-academy-profile; UI não conectada
API CRUD /api/v1/leads,Entrega,F2 — Leads & CRM,Leads,Crítica,2026-06-10,2026-06-16,Em andamento,Backend,CRUD completo leads scoped por academy_id,services/leads.js via Supabase
Página Central de Leads,Entrega,F2 — Leads & CRM,Leads,Crítica,2026-06-10,2026-06-16,Concluída,Frontend,Lista filtros tags status paginação,LeadsCenter.jsx
Importação XLSX bulk insert,Entrega,F2 — Leads & CRM,Leads,Crítica,2026-06-10,2026-06-16,Concluída,Full-stack,POST /api/v1/leads/import upload parse insert,leadImport.js chunked insert Supabase
Página CRM Kanban 8 etapas,Entrega,F2 — Leads & CRM,CRM,Crítica,2026-06-10,2026-06-16,Concluída,Frontend,Kanban: Novo Lead → Contato → Conversando → Interesse → Agendado → Negociação → Fechado | Perdido,CrmKanban.jsx
Mover stage drag-and-drop ou select,Entrega,F2 — Leads & CRM,CRM,Crítica,2026-06-10,2026-06-16,Concluída,Frontend,PATCH /api/v1/leads/{id}/stage,Drag-and-drop + update via Supabase
Filtros tag stage source campanha,Entrega,F2 — Leads & CRM,Leads,Crítica,2026-06-10,2026-06-16,Em andamento,Frontend,Filtros combinados na central de leads e CRM,CRM com filtros; LeadsCenter só busca textual
Validação enum stage backend,Tarefa técnica,F2 — Leads & CRM,CRM,Crítica,2026-06-10,2026-06-16,Em andamento,Backend,Constraint ou validação das 8 etapas CRM,isValidLeadStage() só no frontend
Import Google Sheets,Backlog,F2 — Leads & CRM,Leads,Média,2026-06-10,2026-06-16,Backlog,Full-stack,Pós-MVP se XLSX consumir tempo — priorizar XLSX,—
Decisão provedor WhatsApp (ADR),Tarefa técnica,F3 — WhatsApp & Campanhas,WhatsApp,Crítica,2026-06-17,2026-06-30,Não iniciada,Integração,Evolution API ou Meta Cloud API — documentar decisão,—
Integração WhatsApp multi-tenant,Entrega,F3 — WhatsApp & Campanhas,WhatsApp,Crítica,2026-06-17,2026-06-30,Não iniciada,Integração,Conexão número por academia via whatsapp_instances,—
API /api/v1/whatsapp connect status QR,Entrega,F3 — WhatsApp & Campanhas,WhatsApp,Crítica,2026-06-17,2026-06-30,Não iniciada,Backend,Connect disconnect status QR code,—
UI conexão WhatsApp,Entrega,F3 — WhatsApp & Campanhas,WhatsApp,Crítica,2026-06-17,2026-06-30,Não iniciada,Frontend,Tela conexão QR e status em Configuração da Academia,/integracoes é placeholder
whatsapp_service.py,Tarefa técnica,F3 — WhatsApp & Campanhas,WhatsApp,Crítica,2026-06-17,2026-06-30,Não iniciada,Backend,Criar instância poll status enviar mensagem,—
API CRUD /api/v1/campaigns,Entrega,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Backend,CRUD campanhas com ai_prompt tag active,—
Página Campanhas,Entrega,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Frontend,Criar editar ativar/pausar escolher tag alvo,/campanhas placeholder
Scripts IA pré-definidos + prompt custom,Entrega,F3 — WhatsApp & Campanhas,Campanhas,Crítica,2026-06-17,2026-06-30,Não iniciada,Frontend,Templates: venda agressiva visitas reativar matrícula follow-up,—
