Nome,Módulo,Fase,Prioridade,Status,% conclusão,Schema,Entrega principal,Observações
Auth,Auth,F0 — Fundação,Crítica,Concluída,100%,profiles,"Login, cadastro, reset senha, tenant bootstrap",AuthContext via /api/v1/me + fallback Supabase
Multi-tenant,Multi-tenant,F0 — Fundação,Crítica,Concluída,100%,"academies, profiles.academy_id",RLS + middleware FastAPI,RLS + JWT middleware + tenant_ready em /me
Configuração da Academia,Academia,F1 — Academia & Dashboard,Crítica,Em andamento,85%,"academies, academy_profiles",CRUD perfil comercial + tom IA,AcademySettings + storage logo; IA auto-perfil não ligada à UI
Dashboard,Dashboard,F1 — Academia & Dashboard,Crítica,Em andamento,35%,agregações,Cards e listas com dados reais,UI existe; métricas hardcoded
Central de Leads,Leads,F2 — Leads & CRM,Crítica,Em andamento,80%,leads,"CRUD, tags, filtros, import XLSX",LeadsCenter + import XLSX via Supabase
CRM,CRM,F2 — Leads & CRM,Crítica,Em andamento,85%,leads.stage,Kanban com 8 etapas padrão,CrmKanban drag-and-drop funcional
WhatsApp,WhatsApp,F3 — WhatsApp & Campanhas,Crítica,Não iniciada,5%,whatsapp_instances,"Conexão, QR, status, envio/recebimento",Tabela + RLS apenas
Campanhas,Campanhas,F3 — WhatsApp & Campanhas,Crítica,Não iniciada,5%,campaigns,"Scripts IA, ativação, webhook n8n",Rota placeholder /campanhas
Chat IA,Chat IA,F4 — Chat IA,Alta,Não iniciada,0%,"conversations, messages (novas)","Histórico, supervisão, takeover humano",—
Alunos,Alunos,F5 — Go-Live,Alta,Não iniciada,0%,students (nova),Conversão lead → aluno,—
Relatórios,Relatórios,F5 — Go-Live,Alta,Em andamento,25%,views/queries,Export CSV/XLSX operacional,Relatório leads XLSX/PDF client-side apenas
