Nome,Escopo,Tipo,Fase,Módulo,Prioridade,Data início,Data fim,Status,Camada,Descrição
Scaffold FastAPI modular,MVP,Tarefa técnica,F0 — Fundação,"Auth, Multi-tenant",Crítica,2026-05-27,2026-06-02,Não iniciada,Backend,"Estrutura backend/ com core/, api/v1/, services/, models/"
Migrations Supabase versionadas,MVP,Entrega,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Não iniciada,Database,Pasta supabase/migrations/ com schema versionado no Git
FKs e índices academy_id NOT NULL,MVP,Entrega,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Não iniciada,Database,Constraints FK em profiles leads campaigns whatsapp_instances
RLS ativo em tabelas tenant-scoped,MVP,Entrega,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Não iniciada,Database,Políticas SELECT/INSERT/UPDATE scoped por academy_id
Helper get_user_academy_id() RLS,MVP,Tarefa técnica,F0 — Fundação,Multi-tenant,Crítica,2026-05-27,2026-06-02,Não iniciada,Database,Função SQL auth.uid() → profiles.academy_id
Middleware JWT → academy_id,MVP,Tarefa técnica,F0 — Fundação,"Auth, Multi-tenant",Crítica,2026-05-27,2026-06-02,Não iniciada,Backend,Validar JWT Supabase e injetar contexto tenant em toda request
Endpoint GET /api/v1/me,MVP,Entrega,F0 — Fundação,Auth,Crítica,2026-05-27,2026-06-02,Não iniciada,Backend,Retornar user + academy context para frontend
Register cria academies + profiles,MVP,Tarefa técnica,F0 — Fundação,"Auth, Multi-tenant",Crítica,2026-05-27,2026-06-02,Não iniciada,Full-stack,POST backend cria academy + profile atomicamente; refatorar Register.jsx
Cliente API frontend lib/api.js,MVP,Entrega,F0 — Fundação,Auth,Crítica,2026-05-27,2026-06-02,Não iniciada,Frontend,Início migração off Supabase direct para FastAPI
Hook useAuth + onAuthStateChange,MVP,Tarefa técnica,F0 — Fundação,Auth,Crítica,2026-05-27,2026-06-02,Não iniciada,Frontend,Centralizar estado de sessão no frontend
.env.example frontend + backend,MVP,Entrega,F0 — Fundação,Infra,Crítica,2026-05-27,2026-06-02,Não iniciada,Infra,Documentar variáveis VITE_* e backend
README raiz setup local,MVP,Entrega,F0 — Fundação,Infra,Crítica,2026-05-27,2026-06-02,Não iniciada,Infra,Instruções dev local frontend + backend + Supabase
Corrigir asset logo.png,MVP,Entrega,F0 — Fundação,Frontend,Alta,2026-05-27,2026-06-02,Não iniciada,Frontend,Adicionar logo ou placeholder para evitar falha de build
Migration tabela academy_profiles,MVP,Entrega,F1 — Academia & Dashboard,Academia,Crítica,2026-06-03,2026-06-09,Não iniciada,Database,"modalities plans pricing differentials communication_tone ai_context (jsonb/text)"
API CRUD /api/v1/academy e /profile,MVP,Entrega,F1 — Academia & Dashboard,Academia,Crítica,2026-06-03,2026-06-09,Não iniciada,Backend,Endpoints CRUD perfil comercial e dados institucionais
Página Configuração da Academia,MVP,Entrega,F1 — Academia & Dashboard,Academia,Crítica,2026-06-03,2026-06-09,Não iniciada,Frontend,Formulário manual perfil comercial + dados academia
AppLayout com sidebar funcional,MVP,Entrega,F1 — Academia & Dashboard,Dashboard,Crítica,2026-06-03,2026-06-09,Não iniciada,Frontend,Layout reutilizável extraído do Dashboard com navegação
